name,wins,losses,height,weight,reach,stance,age,SLpM,sig_str_acc,SApM,str_def,td_avg,td_acc,td_def,sub_avg,imputed_reach,gender
Michael Graves,6.0,0.0,177.8,77.11,180.34,Orthodox,33.0,1.25,0.54,1.47,0.58,4.8,0.52,0.66,0.4,180.34,male
Gabriel Gonzaga,17.0,11.0,187.96,109.77,193.04,Orthodox,44.0,2.12,0.45,2.94,0.57,2.8,0.39,0.66,1.1,193.04,male
Igor Pokrajac,28.0,13.0,182.88,92.99,187.96,Orthodox,45.0,2.25,0.45,4.26,0.4,0.87,0.29,0.51,0.2,187.96,male
Ian Entwistle,9.0,3.0,165.1,61.23,182.88,Orthodox,37.0,0.11,0.07,7.36,0.31,0.0,0.0,0.0,12.1,182.88,male
Filip Pejic,12.0,2.0,172.72,61.23,182.88,Orthodox,31.0,0.0,0.0,0.88,0.33,0.0,0.0,0.0,0.0,182.88,male
Robert Whiteford,14.0,4.0,175.26,65.77,175.26,Southpaw,40.0,2.33,0.46,1.99,0.62,1.9,0.3,0.45,0.0,175.26,male
Lucas Martins,19.0,3.0,182.88,65.77,182.88,Southpaw,35.0,2.87,0.35,4.14,0.6,0.0,0.0,0.76,0.5,182.88,male
Frank Mir,18.0,11.0,190.5,119.75,200.66,Southpaw,44.0,2.18,0.47,3.84,0.38,2.02,0.4,0.54,2.0,200.66,male
James Te Huna,16.0,9.0,187.96,83.91,190.5,Orthodox,42.0,4.04,0.51,2.99,0.62,2.75,0.37,0.58,0.2,190.5,male
Mark Eddiva,6.0,3.0,172.72,65.77,172.72,Orthodox,38.0,3.37,0.45,2.98,0.54,1.45,0.22,0.63,0.0,172.72,male
Rin Nakai,19.0,2.0,154.94,61.23,182.88,Orthodox,37.0,1.57,0.33,3.9,0.6,3.0,0.18,0.75,0.5,182.88,andy
Viscardi Andrade,19.0,6.0,180.34,77.11,190.5,Orthodox,40.0,3.26,0.42,2.77,0.63,1.93,0.5,0.66,0.3,190.5,male
Tom Lawlor,10.0,6.0,182.88,92.99,187.96,Southpaw,40.0,2.5,0.42,2.41,0.6,2.46,0.32,0.57,1.4,187.96,male
Marcelo Guimaraes,9.0,2.0,182.88,83.91,185.42,Orthodox,40.0,4.67,0.51,4.41,0.62,1.99,0.13,0.0,0.0,185.42,male
Justin Salas,12.0,7.0,172.72,70.31,177.8,Southpaw,42.0,3.42,0.43,2.96,0.68,2.43,0.2,0.0,0.0,177.8,male
Mike Wilkinson,9.0,4.0,170.18,65.77,167.64,Orthodox,36.0,2.35,0.38,3.7,0.35,0.92,0.14,0.55,0.9,167.64,male
Chris Dempsey,11.0,5.0,177.8,83.91,182.88,Orthodox,36.0,2.25,0.32,2.82,0.65,2.64,0.23,0.16,0.0,182.88,male
Yaotzin Meza,21.0,11.0,175.26,65.77,180.34,Orthodox,43.0,1.43,0.41,1.62,0.64,1.06,0.2,0.18,1.4,180.34,male
Norman Parke,23.0,6.0,180.34,70.31,177.8,Southpaw,37.0,3.06,0.35,2.88,0.64,1.98,0.26,0.77,0.0,177.8,male
Martin Svensson,15.0,6.0,185.42,70.31,182.88,Missing,38.0,2.02,0.38,5.91,0.38,0.0,0.0,0.0,0.0,182.88,male
Joe Riggs,44.0,17.0,182.88,83.91,177.8,Southpaw,41.0,2.41,0.51,1.69,0.57,2.45,0.55,0.62,0.6,177.8,male
Daniel Sarafian,10.0,6.0,175.26,83.91,185.42,Orthodox,41.0,2.23,0.46,3.1,0.58,0.36,0.07,0.53,0.7,185.42,male
Jonavin Webb,9.0,2.0,177.8,77.11,182.88,Orthodox,34.0,1.47,0.3,2.27,0.64,2.5,0.31,0.4,1.0,182.88,male
Jared Rosholt,14.0,4.0,187.96,120.2,190.5,Orthodox,37.0,2.08,0.46,1.52,0.59,1.83,0.41,0.66,0.1,190.5,male
Rafael Cavalcante,12.0,7.0,185.42,92.99,187.96,Orthodox,43.0,2.71,0.53,3.62,0.49,0.6,0.4,0.63,0.1,187.96,male
KJ Noons,13.0,9.0,177.8,70.31,177.8,Orthodox,41.0,3.68,0.35,3.78,0.65,0.08,0.2,0.68,0.0,177.8,male
Noad Lahat,11.0,2.0,175.26,65.77,175.26,Orthodox,39.0,2.79,0.46,1.47,0.63,2.37,0.26,0.16,2.4,175.26,male
Masio Fullen,11.0,7.0,177.8,65.77,177.8,Orthodox,37.0,2.46,0.32,3.5,0.54,0.47,0.33,0.69,0.0,177.8,male
Matt Dwyer,9.0,4.0,193.04,77.11,193.04,Orthodox,34.0,2.57,0.34,3.24,0.54,0.44,0.1,0.6,0.0,193.04,male
Felipe Olivieri,14.0,5.0,175.26,70.31,182.88,Orthodox,38.0,6.68,0.58,4.6,0.57,0.0,0.0,0.71,0.0,182.88,male
Matt Mitrione,12.0,5.0,190.5,120.2,208.28,Switch,45.0,3.55,0.5,2.79,0.64,0.0,0.0,0.55,0.7,208.28,male
Daron Cruickshank,18.0,10.0,172.72,70.31,182.88,Switch,38.0,2.88,0.38,2.98,0.57,2.04,0.41,0.6,0.2,182.88,male
Diego Brandao,22.0,11.0,170.18,65.77,162.56,Orthodox,36.0,2.94,0.47,3.38,0.62,3.21,0.68,0.8,0.6,162.56,male
Tony Sims,12.0,4.0,180.34,70.31,177.8,Southpaw,38.0,1.81,0.63,0.76,0.65,0.71,0.5,0.5,0.7,177.8,male
Masanori Kanehara,26.0,12.0,170.18,61.23,170.18,Orthodox,41.0,1.88,0.49,1.63,0.62,1.44,0.5,0.63,0.9,170.18,male
Sheldon Westcott,10.0,3.0,185.42,77.11,180.34,Southpaw,39.0,2.26,0.4,3.73,0.37,3.23,0.37,0.14,0.0,180.34,male
Edgar Garcia,14.0,5.0,177.8,77.11,180.34,Orthodox,40.0,3.16,0.29,4.23,0.6,2.21,0.57,0.5,0.6,180.34,male
Sarah Kaufman,18.0,4.0,165.1,61.23,167.64,Orthodox,38.0,6.65,0.46,4.0,0.62,0.38,0.57,0.81,0.0,167.64,female
Danny Castillo,17.0,10.0,175.26,70.31,180.34,Orthodox,44.0,2.57,0.42,1.96,0.62,2.95,0.38,0.63,0.2,180.34,male
Hayder Hassan,6.0,3.0,177.8,77.11,182.88,Missing,41.0,2.11,0.46,3.16,0.48,0.0,0.0,0.25,0.0,182.88,male
Marcio Alexandre Junior,17.0,4.0,182.88,83.91,190.5,Southpaw,34.0,1.61,0.45,2.89,0.42,0.35,0.2,0.66,0.7,190.5,male
Marcin Wrzosek,12.0,4.0,175.26,70.31,182.88,Missing,36.0,3.47,0.43,4.07,0.43,3.0,0.25,0.33,0.0,182.88,male
Konstantin Erokhin,9.0,3.0,180.34,104.33,182.88,Orthodox,41.0,1.07,0.36,1.83,0.47,0.0,0.0,0.7,0.0,182.88,male
Mike Pierce,17.0,7.0,172.72,77.11,180.34,Orthodox,43.0,2.62,0.42,2.36,0.62,3.08,0.42,0.71,0.2,180.34,male
Abner Lloveras,20.0,9.0,180.34,70.31,182.88,Missing,41.0,6.27,0.49,6.87,0.43,2.0,0.2,0.0,0.0,182.88,male
John Howard,24.0,13.0,170.18,77.11,182.88,Orthodox,41.0,2.15,0.5,3.08,0.51,2.7,0.49,0.53,0.4,182.88,male
Andreas Stahl,10.0,4.0,180.34,77.11,182.88,Orthodox,35.0,2.83,0.37,4.74,0.57,1.55,0.66,0.8,0.0,182.88,male
Emily Kagan,3.0,3.0,160.02,52.16,182.88,Missing,42.0,2.6,0.36,5.29,0.38,1.86,0.14,0.5,0.0,182.88,female
Benson Henderson,24.0,7.0,175.26,77.11,177.8,Southpaw,40.0,2.93,0.45,1.79,0.63,2.4,0.45,0.63,0.8,177.8,male
Yoshihiro Akiyama,14.0,6.0,177.8,77.11,190.5,Orthodox,48.0,3.1,0.41,3.62,0.57,2.29,0.67,0.92,1.0,190.5,male
Dongi Yang,13.0,3.0,177.8,83.91,185.42,Southpaw,39.0,3.55,0.51,3.21,0.63,1.7,0.41,0.61,0.5,185.42,male
Yui Chul Nam,18.0,8.0,175.26,65.77,182.88,Orthodox,42.0,3.53,0.51,2.0,0.48,1.33,0.16,0.57,0.3,182.88,female
Leo Kuntz,18.0,4.0,177.8,70.31,182.88,Orthodox,40.0,1.68,0.32,3.8,0.45,1.99,0.25,0.33,0.7,182.88,male
Scott Jorgensen,15.0,12.0,165.1,61.23,167.64,Orthodox,41.0,3.37,0.4,3.41,0.65,2.61,0.45,0.59,0.7,167.64,male
Vernon Ramos Ho,3.0,1.0,167.64,77.11,182.88,Orthodox,31.0,4.0,0.25,8.0,0.55,0.0,0.0,0.0,0.0,182.88,male
Valmir Lazaro,15.0,5.0,182.88,70.31,185.42,Orthodox,38.0,4.87,0.37,4.09,0.61,1.33,0.4,0.96,0.0,185.42,male
Akbarh Arreola,23.0,11.0,177.8,70.31,180.34,Southpaw,41.0,2.32,0.45,4.01,0.56,1.07,1.0,0.33,0.4,180.34,male
Anthony Perosh,15.0,10.0,190.5,92.99,190.5,Orthodox,51.0,2.27,0.43,3.77,0.53,2.03,0.22,0.33,1.1,190.5,male
Richie Vaculik,10.0,4.0,167.64,56.7,175.26,Orthodox,40.0,3.69,0.46,4.09,0.57,3.0,0.45,0.31,1.0,175.26,male
Danny Martinez,21.0,8.0,167.64,56.7,170.18,Orthodox,38.0,2.73,0.28,3.77,0.63,3.0,0.45,0.36,0.0,170.18,male
Steve Montgomery,9.0,5.0,193.04,83.91,182.88,Southpaw,33.0,4.85,0.39,4.12,0.47,0.0,0.0,0.64,0.0,182.88,male
Steve Kennedy,24.0,8.0,180.34,77.11,182.88,Orthodox,41.0,2.28,0.35,5.52,0.45,2.51,0.33,0.0,0.0,182.88,male
Piotr Hallmann,18.0,6.0,175.26,70.31,180.34,Orthodox,36.0,3.98,0.45,3.17,0.58,2.55,0.44,0.7,0.4,180.34,male
